timestamp,alert_type,image_path
2024-11-26 20:32:13,fall_detected,fall_detected_photos/fall_detected_20241126_203213.jpg
2024-11-26 20:32:14,fall_detected,fall_detected_photos/fall_detected_20241126_203214.jpg
2024-11-26 20:32:14,fall_detected,fall_detected_photos/fall_detected_20241126_203214.jpg
2024-11-26 20:32:14,fall_detected,fall_detected_photos/fall_detected_20241126_203214.jpg
2024-11-26 20:32:15,fall_detected,fall_detected_photos/fall_detected_20241126_203215.jpg
2024-11-26 20:32:15,fall_detected,fall_detected_photos/fall_detected_20241126_203215.jpg
2024-11-26 20:32:15,fall_detected,fall_detected_photos/fall_detected_20241126_203215.jpg
2024-11-26 20:32:16,fall_detected,fall_detected_photos/fall_detected_20241126_203216.jpg
2024-11-26 20:32:16,fall_detected,fall_detected_photos/fall_detected_20241126_203216.jpg
2024-11-26 20:32:16,fall_detected,fall_detected_photos/fall_detected_20241126_203216.jpg
2024-11-26 20:32:17,fall_detected,fall_detected_photos/fall_detected_20241126_203217.jpg
2024-11-26 20:32:17,fall_detected,fall_detected_photos/fall_detected_20241126_203217.jpg
2024-11-26 20:32:17,fall_detected,fall_detected_photos/fall_detected_20241126_203217.jpg
